,address,price,beds,baths,size,city,state,zipcode
0,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
1,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
2,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
3,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
4,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
5,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
6,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
7,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
8,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
9,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
10,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
11,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
12,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
13,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
14,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
15,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
16,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
17,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
18,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
19,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
20,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
21,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
22,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
23,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
24,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
25,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
26,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
27,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
28,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
29,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
30,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
31,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
32,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
33,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
34,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
35,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
36,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
37,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
38,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
39,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
40,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
41,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
42,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
43,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
44,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
45,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
46,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
47,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
48,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
49,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
50,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
51,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
52,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
53,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
54,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
55,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
56,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
57,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
58,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
59,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
60,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
61,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
62,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
63,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
64,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
65,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
66,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
67,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
68,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
69,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
70,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
71,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
72,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
73,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
74,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
75,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
76,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
77,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
78,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
79,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
80,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
81,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
82,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
83,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
84,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
85,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
86,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
87,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
88,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
89,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
90,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
91,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
92,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
93,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
94,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
95,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
96,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
97,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
98,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
99,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
100,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
101,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
102,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
103,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
104,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
105,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
106,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
107,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
108,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
109,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
110,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
111,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
112,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
113,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
114,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
115,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
116,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
117,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
118,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
119,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
120,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
121,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
122,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
123,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
124,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
125,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
126,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
127,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
128,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
129,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
130,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
131,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
132,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
133,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
134,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
135,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
136,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
137,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
138,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
139,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
140,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
141,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
142,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
143,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
144,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
145,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
146,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
147,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
148,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
149,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
150,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
151,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
152,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
153,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
154,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
155,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
156,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
157,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
158,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
159,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
160,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
161,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
162,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
163,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
164,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
165,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
166,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
167,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
168,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
169,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
170,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
171,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
172,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
173,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
174,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
175,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
176,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
177,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
178,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
179,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
180,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
181,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
182,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
183,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
184,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
185,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
186,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
187,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
188,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
189,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
190,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
191,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
192,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
193,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
194,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
195,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
196,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
197,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
198,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
199,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
200,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
201,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
202,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
203,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
204,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
205,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
206,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
207,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
208,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
209,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
210,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
211,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
212,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
213,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
214,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
215,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
216,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
217,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
218,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
219,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
220,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
221,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
222,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
223,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
224,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
225,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
226,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
227,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
228,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
229,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
230,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
231,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
232,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
233,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
234,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
235,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
236,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
237,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
238,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
239,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
240,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
241,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
242,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
243,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
244,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
245,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
246,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
247,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
248,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
249,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
250,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
251,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
252,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
253,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
254,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
255,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
256,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
257,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
258,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
259,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
260,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
261,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
262,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
263,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
264,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
265,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
266,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
267,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
268,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
269,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
270,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
271,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
272,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
273,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
274,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
275,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
276,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
277,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
278,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
279,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
280,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
281,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
282,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
283,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
284,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
285,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
286,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
287,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
288,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
289,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
290,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
291,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
292,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
293,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
294,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
295,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
296,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
297,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
298,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
299,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
300,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
301,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
302,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
303,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
304,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
305,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
306,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
307,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
308,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
309,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
310,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
311,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
312,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
313,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
314,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
315,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
316,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
317,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
318,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
319,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
320,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
321,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
322,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
323,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
324,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
325,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
326,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
327,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
328,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
329,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
330,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
331,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
332,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
333,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
334,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
335,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
336,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
337,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
338,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
339,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
340,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229
341,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218
342,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241
343,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211
344,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229
345,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212
346,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218
347,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218
348,4242 Buena Vista St APT 17,240000,1,2,869, Dallas,TX,75205
349,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232
350,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208
351,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223
352,4444 Valley Ridge Rd,24000000,9,19,20000, Dallas,TX,75220
353,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211
354,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214
355,5505 Ellsworth Ave,729000,4,5,2811, Dallas,TX,75206
356,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238
357,818 Cordova St,650000,3,2,1814, Dallas,TX,75223
358,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229
359,4610 W Amherst Ave,1650000,5,6,4403, Dallas,TX,75209
360,6220 Bentwood Trl APT 206,175000,1,2,807, Dallas,TX,75252
361,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227
362,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224
363,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249
364,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236
365,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211
366,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232
367,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216
368,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253
369,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216
370,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231
371,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243
372,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232
373,12710 Cove Dr,502985,4,4,3238, La Marque,TX,77568
374,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216
375,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217
376,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224
377,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217
378,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218
379,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212
