,address,price,beds,baths,size,city,state,zipcode,lat,lng
504,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229,32.885233,-96.873914
505,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212,32.788,-96.906497
506,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218,32.856489,-96.688222
507,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218,32.846422,-96.704458
509,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232,32.656177,-96.823803
510,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208,32.728055,-96.85412
511,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223,32.804125,-96.737319
513,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211,32.738436,-96.857982
514,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214,32.818009,-96.740335
516,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238,32.875235,-96.702538
517,818 Cordova St,650000,3,2,1814, Dallas,TX,75223,32.803074,-96.742275
518,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229,32.908929,-96.829962
521,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227,32.762436,-96.66757
522,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224,32.722084,-96.824316
523,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249,32.637059,-96.950159
524,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236,32.699369,-96.94662
525,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211,32.741981,-96.866104
526,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232,32.67165,-96.848417
527,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216,32.684858,-96.802634
528,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253,32.679365,-96.598872
529,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216,32.730506,-96.821353
530,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231,32.862398,-96.74073
531,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243,32.920901,-96.718028
532,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232,32.67694,-96.845093
534,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216,32.714198,-96.799077
535,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217,32.686745,-96.651386
536,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224,32.722586,-96.847349
537,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217,32.74519,-96.671462
538,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218,32.848586,-96.695104
539,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212,32.784418,-96.898355
540,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229,32.890625,-96.879984
541,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218,32.822055,-96.710583
542,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241,32.674341,-96.803904
543,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211,32.737141,-96.878591
544,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229,32.885233,-96.873914
545,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212,32.788,-96.906497
546,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218,32.856489,-96.688222
547,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218,32.846422,-96.704458
549,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232,32.656177,-96.823803
550,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208,32.728055,-96.85412
551,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223,32.804125,-96.737319
553,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211,32.738436,-96.857982
554,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214,32.818009,-96.740335
556,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238,32.875235,-96.702538
557,818 Cordova St,650000,3,2,1814, Dallas,TX,75223,32.803074,-96.742275
558,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229,32.908929,-96.829962
561,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227,32.762436,-96.66757
562,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224,32.722084,-96.824316
563,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249,32.637059,-96.950159
564,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236,32.699369,-96.94662
565,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211,32.741981,-96.866104
566,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232,32.67165,-96.848417
567,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216,32.684858,-96.802634
568,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253,32.679365,-96.598872
569,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216,32.730506,-96.821353
570,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231,32.862398,-96.74073
571,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243,32.920901,-96.718028
572,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232,32.67694,-96.845093
574,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216,32.714198,-96.799077
575,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217,32.686745,-96.651386
576,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224,32.722586,-96.847349
577,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217,32.74519,-96.671462
578,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218,32.848586,-96.695104
579,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212,32.784418,-96.898355
580,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229,32.890625,-96.879984
581,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218,32.822055,-96.710583
582,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241,32.674341,-96.803904
583,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211,32.737141,-96.878591
584,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229,32.885233,-96.873914
585,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212,32.788,-96.906497
586,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218,32.856489,-96.688222
587,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218,32.846422,-96.704458
589,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232,32.656177,-96.823803
590,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208,32.728055,-96.85412
591,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223,32.804125,-96.737319
593,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211,32.738436,-96.857982
594,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214,32.818009,-96.740335
596,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238,32.875235,-96.702538
597,818 Cordova St,650000,3,2,1814, Dallas,TX,75223,32.803074,-96.742275
598,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229,32.908929,-96.829962
601,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227,32.762436,-96.66757
602,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224,32.722084,-96.824316
603,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249,32.637059,-96.950159
604,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236,32.699369,-96.94662
605,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211,32.741981,-96.866104
606,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232,32.67165,-96.848417
607,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216,32.684858,-96.802634
608,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253,32.679365,-96.598872
609,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216,32.730506,-96.821353
610,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231,32.862398,-96.74073
611,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243,32.920901,-96.718028
612,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232,32.67694,-96.845093
614,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216,32.714198,-96.799077
615,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217,32.686745,-96.651386
616,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224,32.722586,-96.847349
617,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217,32.74519,-96.671462
618,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218,32.848586,-96.695104
619,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212,32.784418,-96.898355
620,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229,32.890625,-96.879984
621,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218,32.822055,-96.710583
622,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241,32.674341,-96.803904
623,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211,32.737141,-96.878591
624,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229,32.885233,-96.873914
625,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212,32.788,-96.906497
626,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218,32.856489,-96.688222
627,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218,32.846422,-96.704458
629,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232,32.656177,-96.823803
630,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208,32.728055,-96.85412
631,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223,32.804125,-96.737319
633,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211,32.738436,-96.857982
634,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214,32.818009,-96.740335
636,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238,32.875235,-96.702538
637,818 Cordova St,650000,3,2,1814, Dallas,TX,75223,32.803074,-96.742275
638,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229,32.908929,-96.829962
641,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227,32.762436,-96.66757
642,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224,32.722084,-96.824316
643,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249,32.637059,-96.950159
644,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236,32.699369,-96.94662
645,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211,32.741981,-96.866104
646,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232,32.67165,-96.848417
647,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216,32.684858,-96.802634
648,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253,32.679365,-96.598872
649,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216,32.730506,-96.821353
650,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231,32.862398,-96.74073
651,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243,32.920901,-96.718028
652,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232,32.67694,-96.845093
654,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216,32.714198,-96.799077
655,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217,32.686745,-96.651386
656,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224,32.722586,-96.847349
657,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217,32.74519,-96.671462
658,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218,32.848586,-96.695104
659,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212,32.784418,-96.898355
660,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229,32.890625,-96.879984
661,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218,32.822055,-96.710583
662,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241,32.674341,-96.803904
663,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211,32.737141,-96.878591
664,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229,32.885233,-96.873914
665,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212,32.788,-96.906497
666,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218,32.856489,-96.688222
667,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218,32.846422,-96.704458
669,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232,32.656177,-96.823803
670,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208,32.728055,-96.85412
671,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223,32.804125,-96.737319
673,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211,32.738436,-96.857982
674,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214,32.818009,-96.740335
676,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238,32.875235,-96.702538
677,818 Cordova St,650000,3,2,1814, Dallas,TX,75223,32.803074,-96.742275
678,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229,32.908929,-96.829962
681,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227,32.762436,-96.66757
682,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224,32.722084,-96.824316
683,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249,32.637059,-96.950159
684,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236,32.699369,-96.94662
685,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211,32.741981,-96.866104
686,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232,32.67165,-96.848417
687,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216,32.684858,-96.802634
688,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253,32.679365,-96.598872
689,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216,32.730506,-96.821353
690,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231,32.862398,-96.74073
691,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243,32.920901,-96.718028
692,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232,32.67694,-96.845093
694,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216,32.714198,-96.799077
695,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217,32.686745,-96.651386
696,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224,32.722586,-96.847349
697,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217,32.74519,-96.671462
698,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218,32.848586,-96.695104
699,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212,32.784418,-96.898355
700,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229,32.890625,-96.879984
701,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218,32.822055,-96.710583
702,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241,32.674341,-96.803904
703,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211,32.737141,-96.878591
704,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229,32.885233,-96.873914
705,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212,32.788,-96.906497
706,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218,32.856489,-96.688222
707,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218,32.846422,-96.704458
709,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232,32.656177,-96.823803
710,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208,32.728055,-96.85412
711,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223,32.804125,-96.737319
713,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211,32.738436,-96.857982
714,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214,32.818009,-96.740335
716,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238,32.875235,-96.702538
717,818 Cordova St,650000,3,2,1814, Dallas,TX,75223,32.803074,-96.742275
718,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229,32.908929,-96.829962
721,2827 Curvilinear Ct,245000,4,2,2200, Dallas,TX,75227,32.762436,-96.66757
722,132 W Woodin Blvd,275000,4,2,1800, Dallas,TX,75224,32.722084,-96.824316
723,7311 Hardwood Trl,209900,3,2,1902, Dallas,TX,75249,32.637059,-96.950159
724,3609 Patience Blvd,324990,4,2,2067, Dallas,TX,75236,32.699369,-96.94662
725,2812 Alden Ave,375000,3,1,1757, Dallas,TX,75211,32.741981,-96.866104
726,1728 W Red Bird Ln,395000,4,3,2582, Dallas,TX,75232,32.67165,-96.848417
727,1337 Kingsley Dr,181900,3,2,1262, Dallas,TX,75216,32.684858,-96.802634
728,13536 Vida Ln,210000,3,2,1441, Dallas,TX,75253,32.679365,-96.598872
729,1402 Seevers Ave,389000,3,2,2101, Dallas,TX,75216,32.730506,-96.821353
730,7036 Winchester St,475000,3,2,2089, Dallas,TX,75231,32.862398,-96.74073
731,12618 Trenton Dr,375000,4,3,2463, Dallas,TX,75243,32.920901,-96.718028
732,1415 Reynoldston Ln,187434,3,2,1602, Dallas,TX,75232,32.67694,-96.845093
734,2720 E Atoll Dr,225000,5,2,2500, Dallas,TX,75216,32.714198,-96.799077
735,9835 Whistler Dr,275000,4,3,2482, Dallas,TX,75217,32.686745,-96.651386
736,1627 Wilbur St,325000,3,2,1820, Dallas,TX,75224,32.722586,-96.847349
737,1920 Oak Hill Cir,178374,4,2,1302, Dallas,TX,75217,32.74519,-96.671462
738,10548 Wyatt St,499999,4,3,2522, Dallas,TX,75218,32.848586,-96.695104
739,3408 Hammerly Dr,384900,3,3,2000, Dallas,TX,75212,32.784418,-96.898355
740,10525 Channel Dr,299000,4,2,2151, Dallas,TX,75229,32.890625,-96.879984
741,8648 Forest Hills Blvd,650000,3,3,1712, Dallas,TX,75218,32.822055,-96.710583
742,6015 Sunny Crest Ln,180000,4,3,1578, Dallas,TX,75241,32.674341,-96.803904
743,3531 Burlingdell Ave,319000,4,2,1720, Dallas,TX,75211,32.737141,-96.878591
744,10211 Carry Back Cir,485000,3,3,2042, Dallas,TX,75229,32.885233,-96.873914
745,3722 Ingersoll St,299900,4,2,1608, Dallas,TX,75212,32.788,-96.906497
746,11232 Lanewood Cir,435000,3,2,1653, Dallas,TX,75218,32.856489,-96.688222
747,9747 E Lake Highlands Dr,395000,3,2,1500, Dallas,TX,75218,32.846422,-96.704458
749,7616 Texridge Dr,209000,3,2,1478, Dallas,TX,75232,32.656177,-96.823803
750,1530 S Montreal Ave,327900,2,2,1122, Dallas,TX,75208,32.728055,-96.85412
751,6926 Vivian Ave,549900,2,2,1444, Dallas,TX,75223,32.804125,-96.737319
753,2427 Catherine St,329500,2,2,1322, Dallas,TX,75211,32.738436,-96.857982
754,6882 Avalon Ave,829500,3,2,1804, Dallas,TX,75214,32.818009,-96.740335
756,10619 Lakemere Dr,499900,3,2,1647, Dallas,TX,75238,32.875235,-96.702538
757,818 Cordova St,650000,3,2,1814, Dallas,TX,75223,32.803074,-96.742275
758,11727 Welch Rd,699000,3,3,2491, Dallas,TX,75229,32.908929,-96.829962
